country,tech,date,price_res,price_base,cap_factor
HU,Solar,2022-01-01T00:00:00Z,83.39632357051963,82.87125,1.006336016055262
HU,Solar,2022-01-02T00:00:00Z,72.9557321904128,90.52916666666667,0.8058809649606054
HU,Solar,2022-01-03T00:00:00Z,129.98865025722395,103.98166666666667,1.250111240031646
HU,Solar,2022-01-04T00:00:00Z,196.54779218795653,166.02208333333334,1.1838653523780613
HU,Solar,2022-01-05T00:00:00Z,135.85119919850263,133.1125,1.0205743202066118
HU,Solar,2022-01-06T00:00:00Z,220.59026804101094,200.56666666666666,1.0998351406399083
HU,Solar,2022-01-07T00:00:00Z,190.4212166586998,188.27666666666667,1.0113904183136508
HU,Solar,2022-01-08T00:00:00Z,208.50676880452752,179.09958333333333,1.1641946057264838
HU,Solar,2022-01-09T00:00:00Z,191.9476144120992,179.63083333333333,1.0685671877717682
HU,Solar,2022-01-10T00:00:00Z,305.1369681181932,262.13375,1.1640506730559996
HU,Solar,2022-01-11T00:00:00Z,265.57084949612795,253.84125,1.04620840582895
HU,Solar,2022-01-12T00:00:00Z,258.41274573353746,233.3175,1.107558351746172
HU,Solar,2022-01-13T00:00:00Z,227.6978630409915,218.39875,1.0425786001109965
HU,Solar,2022-01-14T00:00:00Z,195.98790172051525,209.91958333333332,0.9336332447330756
HU,Solar,2022-01-15T00:00:00Z,213.021617439826,215.04833333333335,0.9905755331274023
HU,Solar,2022-01-16T00:00:00Z,200.19636164843683,205.19166666666666,0.9756554196406783
HU,Solar,2022-01-17T00:00:00Z,230.49189386277746,214.03,1.0769139553463414
HU,Solar,2022-01-18T00:00:00Z,262.6248136175333,236.9175,1.1085074492915605
HU,Solar,2022-01-19T00:00:00Z,208.775689810258,227.02875,0.9196002260077545
HU,Solar,2022-01-20T00:00:00Z,196.05398796788901,192.01833333333335,1.0210170277207333
HU,Solar,2022-01-21T00:00:00Z,203.2638910814308,211.24583333333334,0.9622149127111658
HU,Solar,2022-01-22T00:00:00Z,199.85136721930215,193.95166666666668,1.030418406059768
HU,Solar,2022-01-23T00:00:00Z,192.54869054086345,202.93708333333333,0.9488097856644244
HU,Solar,2022-01-24T00:00:00Z,263.3322082083464,247.49041666666668,1.0640097170429685
HU,Solar,2022-01-25T00:00:00Z,346.30265706927656,300.3308333333333,1.1530706095864613
HU,Solar,2022-01-26T00:00:00Z,299.7053779026505,293.375,1.0215777687350678
HU,Solar,2022-01-27T00:00:00Z,266.20933611734404,255.57666666666665,1.0416026611089069
HU,Solar,2022-01-28T00:00:00Z,272.39314471620924,244.0725,1.1160337388120711
HU,Solar,2022-01-29T00:00:00Z,243.70230832660005,235.48625,1.0348897582198537
HU,Solar,2022-01-30T00:00:00Z,111.13371917546044,154.56041666666667,0.7190309237787409
HU,Solar,2022-01-31T00:00:00Z,250.1228545848328,221.61833333333334,1.1286198701288226
HU,Solar,2022-02-01T00:00:00Z,214.4916809425695,212.73375,1.0082635263213737
HU,Solar,2022-02-02T00:00:00Z,281.3506992429731,250.48958333333331,1.1232031907233926
HU,Solar,2022-02-03T00:00:00Z,208.71513474681524,213.43166666666667,0.9779014426794613
HU,Solar,2022-02-04T00:00:00Z,224.39869990152692,231.55875,0.9690789050360953
HU,Solar,2022-02-05T00:00:00Z,218.1113726921957,225.06958333333333,0.9690841803761978
HU,Solar,2022-02-06T00:00:00Z,181.46890596940784,185.0425,0.9806877121169886
HU,Solar,2022-02-07T00:00:00Z,207.07255660307825,191.63333333333333,1.0805664807953292
HU,Solar,2022-02-08T00:00:00Z,154.0946252083391,176.4975,0.8730697330462986
HU,Solar,2022-02-09T00:00:00Z,199.3726714022057,213.22375,0.9350397007941456
HU,Solar,2022-02-10T00:00:00Z,203.57765874408275,214.82208333333332,0.9476570359305058
HU,Solar,2022-02-11T00:00:00Z,185.97939432752173,212.00583333333333,0.877237156182912
HU,Solar,2022-02-12T00:00:00Z,143.361594616982,170.2125,0.8422506843914636
HU,Solar,2022-02-13T00:00:00Z,143.18774830424107,152.25666666666666,0.9404366418826176
HU,Solar,2022-02-14T00:00:00Z,221.18345846210485,223.32125,0.9904272811570993
HU,Solar,2022-02-15T00:00:00Z,220.0977305876472,209.56541666666666,1.0502578817082837
HU,Solar,2022-02-16T00:00:00Z,211.2052634700792,206.2925,1.023814552007849
HU,Solar,2022-02-17T00:00:00Z,174.59423290816324,177.30125,0.984732103739614
HU,Solar,2022-02-18T00:00:00Z,145.58615164725015,157.29541666666668,0.9255587653629458
HU,Solar,2022-02-19T00:00:00Z,154.84521953033575,147.40125,1.0505014002956945
HU,Solar,2022-02-20T00:00:00Z,101.43941454553469,124.63708333333334,0.8138782762931152
HU,Solar,2022-02-21T00:00:00Z,175.35680462568473,140.82625,1.2451997026526287
HU,Solar,2022-02-22T00:00:00Z,154.34514195003644,141.36833333333334,1.091794310017824
HU,Solar,2022-02-23T00:00:00Z,186.81779647723437,181.28916666666666,1.0304961951793463
HU,Solar,2022-02-24T00:00:00Z,143.7318772042036,181.21041666666667,0.7931766829309589
HU,Solar,2022-02-25T00:00:00Z,174.93104315714626,218.41541666666666,0.8009097792950952
HU,Solar,2022-02-26T00:00:00Z,216.69864539467534,229.8975,0.9425880898864726
HU,Solar,2022-02-27T00:00:00Z,139.6474211335156,183.20833333333334,0.7622329104399305
HU,Solar,2022-02-28T00:00:00Z,267.4680781971559,269.20708333333334,0.9935402697631688
HU,Solar,2022-03-01T00:00:00Z,232.78965112353558,252.035,0.9236401734819989
HU,Solar,2022-03-02T00:00:00Z,263.78030807698946,282.0966666666667,0.9350706309078074
